# areas, intensities, x, y
1.100000000000000000e+01,2.515454545454545325e+02,7.005059631369714879e+00,7.000000000000000000e+01
1.130900000000000000e+04,4.734070209567600784e+01,1.703133125130749193e+02,2.220271398045485682e+02
1.451000000000000000e+03,4.289455547898001697e+01,1.859756748071979473e+02,2.235765745501285267e+02
1.286500000000000000e+04,1.433209483093664858e+02,2.399923582728069391e+02,4.886186094768264070e+02
2.843000000000000000e+03,2.039985930355258574e+02,2.473140207735599176e+02,5.001513945596998383e+02
1.244400000000000000e+04,5.461210221793635355e+01,6.864821371026481529e+02,5.563546637472722978e+02
5.000000000000000000e+01,4.428000000000000114e+01,6.531833785004516812e+02,5.705943992773261471e+02
5.220000000000000000e+02,4.884865900383141479e+01,6.916275148045020842e+02,5.538801521628298588e+02
1.032400000000000000e+04,6.942473847345989668e+01,7.788345706468585377e+02,9.449937076293947484e+02
8.780000000000000000e+02,6.305694760820045275e+01,7.834915468535510854e+02,9.292416371649446774e+02
